Genome,jk18x11,jk18x1bz,jk18x22,jk18x25,jk18x27,jk18x34,jk18x40,jk18x44,jk18x7,jk18x8,jk18x9,jk18xA,p16x33,p16x34,p16x43,p16x44,p16x57,p16x60,p16x63,p16x65
jk18x9bins.88,0.015334961,0.013570301,0.022654546,0,0.03523284,0,0.01821986,0,0.05985512,0.025987284,1.1613975,0.021070266,0.033977415,0.39769047,0.023163853,0,0,0,0.014970648,0
p16x33bins.8,0,0,0.015638234,0,0.010836179,0.010534109,0.014833292,0,0,0,0,0,0.20715353,0.013083875,0.03949765,0.017903352,0.008634765,0.010025292,0.007974291,0
jk18x34bins.63,0,0,0.1617188,0.2126707,0.13811074,0.4412632,0,0,0,0,0,0.0064970413,0.031164104,0.056559477,0,0,0,0,0,0
jk18x1bzbins.55,0,0.7522834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jk18x34bins.37,0,0,0.010632473,0.011703975,0.02477694,0.4314411,0.02553519,0,0.0148170395,0,0.012778459,0.01004196,0.064341225,0.083162785,0.048787948,0.01388658,0.048144504,0.087755084,0.12978958,0.17123397
jk18x8bins.7,0.10193313,0.015535884,0.061816823,0.026516682,0.03758721,0.046894416,0.18440819,0.040848725,0.088463336,0.7616986,0.18096244,0.019782273,0.046719268,0.031068128,0.034715243,0.01044258,0.019376934,0.0747683,0.022267558,0.01803439
jk18x27bins.36,0,0.018826919,0.0574653,0.028561547,0.18133713,0.07413599,0.056574136,0.007968699,0.03986051,0,0.10945779,0.010018771,0.029680014,0.01894731,0.02236705,0.007741802,0.015665373,0.022126153,0.016741145,0
jk18x25bins.87,0.0032711425,0,0.16003416,0.33552396,0,0,0,0,0.0038274536,0.0104977945,0.009678052,0,0,0,0.016316785,0.023853268,0,0,0,0
jk18x9bins.18,0.012495006,0,0,0,0.037743542,0,0.043892615,0.025952196,0.13921347,0.023143675,1.1497087,0,0,0,0.030117651,0.019962257,0.015159786,0.020371439,0,0
p16x43bins.66,0,0,0.21272978,0.06476045,0.016867798,0.03166946,0,0,0.014655428,0,0.01383033,0,0.014912236,0.011302539,0.32929757,0.3203459,0.11010138,0.24420522,0,0
